Real Score,Predicted Score
0.2166666666666666,0.33
0.85,0.5
0.65,0.416666667
0.85,0.65
0.65,0.416666667
0.65,0.3
0.85,0.5
0.596666667,0.5
0.85,0.5
0.75,0.65
0.383333333,0.35
0.85,0.63
0.85,0.55
0.65,0.65
0.85,0.65
0.75,0.41
0.816666667,0.65
0.623333333,0.416666667
0.716666667,0.2
0.65,0.2
0.783333333,0.65
0.716666667,0.65
0.55,0.55
0.85,0.5
0.85,0.85
0.783333333,0.35
0.7166666666666667,0.2
0.65,0.3
0.5333333333333333,0.1
0.65,0.3
0.6,0.4
0.7833333333333333,0.65
0.483333333,0.33
0.85,0.1
0.716666667,0.25
0.75,0.65
0.48,0.33
0.783333333,0.65
0.85,0.65
0.85,0.55
0.65,0.6
0.693333333,0.5
0.65,0.65
0.76,0.2
0.736666667,0.5
0.783333333,0.0
0.65,0.333333333
0.34,0.0
0.623333333,0.416666667
0.85,0.9
0.656666667,0.416666667
0.693333333,0.55
0.85,0.85
0.826666667,0.65
0.57,0.416666667
0.85,0.0
0.826666667,0.35
0.76,0.55
0.683333333,0.4
0.75,0.416666667
0.85,0.6
0.716666667,0.5
0.85,0.25
0.65,0.35
0.2266666666666666,0.3
0.55,0.3
0.75,0.65
0.6,0.65
0.55,0.25
0.85,0.55
0.65,0.1
0.65,0.45
0.683333333,0.39
0.85,0.65
0.85,0.85
0.716666667,0.85
0.85,0.35
0.85,0.55
0.65,0.65
0.793333333,0.65
0.65,0.35
0.343333333,0.2
0.35,0.55
0.65,0.45
0.826666667,0.416666667
0.8166666666666668,0.65
0.716666667,0.416666667
0.65,0.2
0.55,0.0
0.16,0.1
0.65,0.5
0.65,0.55
0.783333333,0.35
0.65,0.35
0.75,0.15
0.716666667,0.45
0.35,0.1
0.893333333,0.45
0.65,0.4
0.65,0.15
0.85,0.25
0.85,0.45
0.716666667,0.0
0.85,0.5
0.816666667,0.416666667
0.75,0.65
0.85,0.65
0.383333333,0.05
0.576666667,0.5
0.683333333,0.5
0.85,0.7
0.65,0.316666667
0.816666667,0.65
0.716666667,0.65
0.71,0.85
0.266666667,0.3
0.7833333333333333,0.3
0.583333333,0.33
0.783333333,0.85
0.483333333,0.1
0.466666667,0.25
0.783333333,0.33
0.34,0.35
0.816666667,0.65
0.943333333,0.65
0.716666667,0.75
0.383333333,0.35
0.65,0.35
0.783333333,0.65
0.2833333333333333,0.1
0.816666667,0.55
0.483333333,0.5
0.5499999999999999,0.1
0.65,0.7
0.383333333,0.1
0.65,0.416666667
0.62,0.416666667
0.65,0.65
0.85,0.5
0.75,0.8
0.85,0.3
0.7600000000000001,0.4
0.8166666666666668,0.2
0.85,0.65
0.75,0.85
0.35,0.35
0.65,0.85
0.85,0.55
0.77,0.55
0.35,0.33
0.3166666666666666,0.4
0.716666667,0.75
0.716666667,0.65
0.683333333,0.3
0.35,0.55
0.516666667,0.3
0.873333333,0.85
0.5499999999999999,0.3
0.65,0.2
0.85,0.85
0.85,0.6
0.35,0.55
0.793333333,0.75
0.383333333,0.15
0.5666666666666667,0.05
0.683333333,0.55
0.71,0.65
0.65,0.5
0.483333333,0.35
0.65,0.5
0.6933333333333334,0.45
0.35,0.35
0.85,0.2
0.6066666666666667,0.15
0.65,0.35
0.85,0.65
0.883333333,0.65
0.3166666666666666,0.25
0.683333,0.65
0.62,0.35
0.85,0.416666667
0.7616666666666667,0.1
0.65,0.5
0.35,0.33
0.5499999999999999,0.65
0.85,0.65
0.783333333,0.65
0.85,0.5
0.55,0.0
0.65,0.316666667
0.383333333,0.85
0.65,0.5
0.85,0.8
0.783333333,0.65
0.45,0.416666667
0.85,0.3
0.65,0.416666667
0.85,0.1
0.85,0.416666667
0.75,0.5
0.76,0.0
0.516666667,0.3
0.816666667,0.55
0.85,0.65
0.583333333,0.416666667
0.65,0.65
0.683333333,0.5
0.65,0.25
0.45,0.316666667
0.383333333,0.65
0.65,0.85
0.65,0.33
0.483333333,0.35
0.6,0.45
0.77,0.3
0.3499999999999999,0.1
0.62,0.416666667
0.716666667,0.416666667
0.8166666666666668,0.72
0.5166666666666667,0.33
0.666666667,0.2
0.65,0.35
0.3166666666666666,0.25
0.65,0.333333333
0.716666667,0.45
0.6,0.35
0.85,0.75
0.5,0.3
0.65,0.65
0.6,0.5
0.716666667,0.3
0.75,0.8
0.85,0.2
0.65,0.55
0.783333333,0.0
0.583333,0.85
0.803333333,0.55
0.6,0.35
0.85,0.65
0.24,0.2
0.65,0.68
0.693333333,0.15
0.85,0.42
0.283333333,0.35
0.75,0.65
0.35,0.65
0.333333333,0.316666667
0.643333333,0.4
0.85,0.416666667
0.65,0.15
